DATE,The trend of CO2(ppm),The trend of Inside-TEM(℃),The trend of Inside-THM(%),WV(m/s）
2018-11-02 00:00:00,1023.978565,9.442857107,50.91666603,0.27142857800000003
2018-11-02 01:00:00,1008.0244640000001,9.033333037,51.15333252,0.271111118
2018-11-02 02:00:00,982.1234183,8.395744932000001,50.41702043,0.287234048
2018-11-02 03:00:00,958.5938945,8.189796038999999,50.51836831,0.255102047
2018-11-02 04:00:00,929.9630498,7.895652107999999,50.94782672,0.269565223
2018-11-02 05:00:00,921.2377388,7.484905666,51.75849065,0.258490571
2018-11-02 06:00:00,907.3160193,7.243999996,52.36199928,0.270000005
2018-11-02 07:00:00,933.558141,7.665116255,54.54418688,0.23953488899999997
2018-11-02 08:00:00,691.8173052999999,7.855769313,52.08269237,0.317307699
2018-11-02 09:00:00,529.387033,8.011111145,51.07037099,0.462962971
2018-11-02 10:00:00,497.06982589999996,10.10566035,48.07358436,0.435849064
2018-11-02 11:00:00,477.52457360000005,12.31052636,47.99649162,0.508771938
2018-11-02 12:00:00,465.6510284,13.99387757,47.96122399,0.47551021299999996
2018-11-02 13:00:00,475.70001219999995,15.13877542,47.5306124,0.48163265899999996
2018-11-02 14:00:00,475.41731669999996,15.69615397,47.97884633,0.75576923
2018-11-02 15:00:00,488.12083370000005,15.72500014,49.61875002,0.747916667
2018-11-02 16:00:00,475.94528489999993,15.09245257,52.82264119,0.611320761
2018-11-02 17:00:00,609.8452834,15.17735834,59.92830111,0.364150948
2018-11-02 18:00:00,790.4622515,15.16603765,62.05282866,0.305660385
2018-11-02 19:00:00,772.8355522999999,13.87333325,62.29333225,0.21333333699999998
2018-11-02 20:00:00,779.0999756,12.86279088,62.79999924,0.262790704
2018-11-02 21:00:00,773.6857169,12.5,63.96666781,0.266666673
2018-11-02 22:00:00,786.1261727000001,12.06428555,64.8476221,0.338095245
2018-11-02 23:00:00,791.5458221,11.03750002,63.44583257,0.285416673
2018-11-03 00:00:00,750.7212602000001,9.812766035,62.31063753,0.27872341100000003
2018-11-03 01:00:00,738.4428537,9.114285469,62.39285578,0.409523817
2018-11-03 02:00:00,729.4446657999999,8.600000321,62.56808455,0.293617029
2018-11-03 03:00:00,726.4999888,8.189473805,62.80526392,0.24210526899999998
2018-11-03 04:00:00,710.4622287000001,7.819999886000001,62.00000076,0.242222228
2018-11-03 05:00:00,702.8999905000001,7.413333416,62.59111133,0.266666673
2018-11-03 06:00:00,722.9468163,7.400000095,61.90212842,0.28510639
2018-11-03 07:00:00,713.3729362,7.493750006,62.12500016,0.262500007
2018-11-03 08:00:00,601.0489838,7.926530702000001,68.35918364,0.36530613
2018-11-03 09:00:00,699.382762,10.5103447,77.69137836,0.205172417
2018-11-03 10:00:00,962.2767823999999,13.2857143,73.0089283,0.167857146
2018-11-03 11:00:00,878.3929775,15.10000003,64.42806933,0.270175443
